iter	Passed	Remaining
0	86	86776
1	105	52437
2	120	39961
3	135	33673
4	151	30094
5	166	27518
6	180	25593
7	195	24258
8	211	23236
9	226	22384
10	241	21672
11	257	21229
12	272	20692
13	288	20344
14	303	19955
15	320	19697
16	338	19597
17	358	19566
18	377	19495
19	397	19478
20	417	19465
21	441	19645
22	463	19672
23	484	19713
24	503	19654
25	526	19706
26	549	19790
27	575	19978
28	594	19897
29	613	19845
30	631	19737
31	651	19693
32	670	19653
33	690	19612
34	705	19459
35	721	19332
36	737	19201
37	757	19164
38	773	19071
39	792	19026
40	816	19099
41	836	19075
42	860	19144
43	881	19163
44	904	19201
45	928	19260
46	953	19325
47	973	19299
48	1003	19468
49	1052	20000
50	1078	20069
51	1100	20066
52	1127	20141
53	1148	20124
54	1170	20106
55	1192	20101
56	1213	20074
57	1234	20047
58	1256	20045
59	1280	20067
60	1304	20083
61	1326	20066
62	1351	20103
63	1375	20115
64	1396	20091
65	1417	20056
66	1437	20013
67	1454	19933
68	1472	19871
69	1494	19855
70	1518	19872
71	1538	19830
72	1556	19769
73	1573	19684
74	1589	19608
75	1606	19530
76	1623	19465
77	1642	19411
78	1661	19364
79	1678	19303
80	1698	19270
81	1718	19243
82	1737	19195
83	1754	19133
84	1771	19064
85	1789	19020
86	1806	18959
87	1825	18916
88	1843	18865
89	1862	18827
90	1879	18775
91	1898	18739
92	1920	18729
93	1939	18697
94	1959	18669
95	1978	18633
96	1995	18577
97	2014	18542
98	2032	18500
99	2050	18458
100	2069	18417
101	2087	18378
102	2103	18320
103	2119	18261
104	2137	18221
105	2157	18192
106	2184	18231
107	2206	18226
108	2236	18279
109	2258	18276
110	2281	18272
111	2305	18282
112	2332	18311
113	2354	18301
114	2379	18315
115	2401	18300
116	2423	18291
117	2446	18283
118	2472	18301
119	2496	18304
120	2516	18284
121	2535	18246
122	2553	18209
123	2573	18183
124	2593	18155
125	2611	18112
126	2629	18076
127	2648	18046
128	2667	18007
129	2686	17981
130	2704	17942
131	2725	17921
132	2743	17884
133	2767	17887
134	2789	17875
135	2810	17853
136	2828	17819
137	2850	17808
138	2870	17778
139	2891	17763
140	2912	17744
141	2935	17739
142	2957	17725
143	2980	17717
144	2999	17687
145	3020	17670
146	3038	17633
147	3059	17610
148	3079	17588
149	3106	17601
150	3134	17623
151	3154	17598
152	3173	17566
153	3191	17535
154	3209	17499
155	3228	17468
156	3247	17438
157	3267	17412
158	3284	17375
159	3303	17345
160	3323	17317
161	3344	17302
162	3362	17267
163	3381	17236
164	3402	17216
165	3425	17208
166	3447	17196
167	3465	17162
168	3486	17143
169	3505	17113
170	3526	17095
171	3546	17073
172	3570	17068
173	3588	17032
174	3606	17003
175	3628	16986
176	3648	16962
177	3667	16936
178	3684	16901
179	3702	16868
180	3725	16856
181	3746	16836
182	3764	16805
183	3783	16778
184	3812	16795
185	3844	16824
186	3875	16849
187	3899	16840
188	3920	16823
189	3948	16831
190	3973	16828
191	3996	16817
192	4021	16816
193	4047	16817
194	4071	16809
195	4101	16826
196	4119	16793
197	4138	16762
198	4157	16735
199	4183	16732
200	4203	16710
201	4227	16700
202	4253	16698
203	4272	16670
204	4291	16644
205	4314	16628
206	4346	16649
207	4369	16635
208	4394	16630
209	4421	16633
210	4448	16635
211	4475	16633
212	4494	16606
213	4521	16607
214	4544	16591
215	4567	16578
216	4591	16567
217	4611	16542
218	4631	16518
219	4649	16485
220	4671	16464
221	4695	16454
222	4715	16430
223	4735	16403
224	4753	16373
225	4771	16341
226	4790	16313
227	4812	16295
228	4836	16282
229	4857	16262
230	4877	16237
231	4898	16214
232	4916	16184
233	4934	16153
234	4952	16120
235	4969	16087
236	4989	16062
237	5007	16032
238	5029	16013
239	5052	15999
240	5077	15991
241	5105	15991
242	5132	15989
243	5152	15965
244	5172	15940
245	5191	15910
246	5210	15885
247	5233	15867
248	5252	15840
249	5270	15812
250	5292	15792
251	5313	15771
252	5334	15751
253	5356	15731
254	5376	15707
255	5395	15680
256	5417	15661
257	5436	15635
258	5458	15617
259	5479	15595
260	5498	15568
261	5520	15550
262	5541	15528
263	5560	15502
264	5578	15472
265	5595	15440
266	5613	15411
267	5632	15384
268	5653	15362
269	5673	15338
270	5693	15315
271	5714	15294
272	5734	15272
273	5754	15248
274	5772	15219
